"Complex","Class","R1","HanschPi1","Hammett1","VdW1","R2","HanschPi2","Hammett2","VdW2","R3","HanschPi3","Hammett3","VdW3","R4","HanschPi4","Hammett4","VdW4","R5","HanschPi5","Hammett5","VdW5","R6","HanschPi6","Hammett6","VdW6","Bridge","HanschPi7","Hammett7","VdW7"
"[Ti](Cl)Cl.CC(CC(O[C@@H]1CC2=CC[C@]([C@@](CC[C@@H]3C(C)=O)([H])[C@]3(C)CC4)([H])[C@@]4([H])[C@@]2(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(=CCC3([H])C2([H])CCC2(C)C(C(C)=O)CCC32[H])C1","1.084","-0.055","336.70412999999996","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(CC(O[C@@H]1CC2=CC[C@]([C@@](CC[C@@H]3[C@H](C)CCCC(C)C)([H])[C@]3(C)CC4)([H])[C@@]4([H])[C@@]2(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(=CCC3([H])C2([H])CCC2(C)C(C(C)CCCC(C)C)CCC32[H])C1","1.084","-0.055","414.92177999999984","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(CC(O[C@@H]1CC2=CC[C@]([C@@](CCC3=O)([H])[C@]3(C)CC4)([H])[C@@]4([H])[C@@]2(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(=CCC3([H])C4([H])CCC(=O)C4(C)CCC23[H])C1","1.084","-0.055","308.98953","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(CC(O[C@@H]1CC(CC[C@]2([H])[C@]3([H])CC[C@@]4(C)[C@@]2([H])CCC4=O)[C@]3(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(CCC3([H])C4([H])CCC(=O)C4(C)CCC23[H])C1","1.084","-0.055","311.10417","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(CC(O[C@H]1CC(CC[C@]2([H])[C@]3([H])CC[C@@]4(C)[C@@]2([H])CCC4=O)[C@]3(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(CCC3([H])C4([H])CCC(=O)C4(C)CCC23[H])C1","1.084","-0.055","311.10417","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(CC(O[C@@H]1CC(CC[C@]2([H])[C@]3([H])CC[C@@]4(C)[C@@]2([H])CC[C@@H]4[C@H](C)CCCC(C)C)[C@]3(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(CCC3([H])C2([H])CCC2(C)C(C(C)CCCC(C)C)CCC23[H])C1","1.084","-0.055","417.0364199999999","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"CC(C)O[Ti]1(OC2=C3C=C(C)C(C)=C2)(OC(C)C)([N](C4)(C)CC[N]1(C3)C)OC5=C4C=C(C)C(C)=C5","ONNO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"CC(C)O[Ti]1(OC2=C3C=C(C)C=C2C)(OC(C)C)([N](C4)(C)CC[N]1(C3)C)OC5=C4C=C(C)C=C5C","ONNO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"CC(C)O[Ti]1(OC2=C3C=C(C(C)(C)C)C=C2C(C)(C)C)(OC(C)C)([N](C4)(C)CC[N]1(C3)C)OC5=C4C=C(C(C)(C)C)C=C5C(C)(C)C","ONNO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"CC(C)O[Ti]1(OC2=C3C=C(C)C(C)=C2)(OC(C)C)([N](C4)(CC)CC[N]1(C3)CC)OC5=C4C=C(C)C(C)=C5","ONNO","*CC","1.157","-0.133","28.95192","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
